Title,Artist,danceability,energy,valence,acousticness,tempo
Blinding Lights,The Weeknd,0.75,0.85,0.80,0.10,0.78
Shape of You,Ed Sheeran,0.82,0.76,0.88,0.15,0.70
Believer,Imagine Dragons,0.70,0.90,0.75,0.05,0.72
Rolling in the Deep,Adele,0.55,0.78,0.60,0.20,0.65
Senorita,Shawn Mendes,0.80,0.72,0.85,0.18,0.74
Despacito,Luis Fonsi,0.85,0.80,0.90,0.12,0.77
Levitating,Dua Lipa,0.83,0.79,0.87,0.14,0.73
Thunder,Imagine Dragons,0.68,0.88,0.70,0.06,0.69
Bad Guy,Billie Eilish,0.78,0.65,0.60,0.30,0.66
Perfect,Ed Sheeran,0.58,0.55,0.75,0.40,0.60
Havana,Camila Cabello,0.81,0.73,0.82,0.22,0.71
Uptown Funk,Bruno Mars,0.86,0.89,0.92,0.08,0.76
Someone Like You,Adele,0.40,0.45,0.35,0.55,0.58
Stay,The Kid LAROI,0.72,0.77,0.70,0.25,0.68
Faded,Alan Walker,0.65,0.80,0.55,0.28,0.62
Closer,The Chainsmokers,0.76,0.70,0.82,0.20,0.69
Shallow,Lady Gaga,0.50,0.60,0.50,0.48,0.61
Rockstar,Post Malone,0.79,0.83,0.74,0.12,0.72
Counting Stars,OneRepublic,0.77,0.82,0.86,0.10,0.73
Heat Waves,Glass Animals,0.74,0.71,0.81,0.22,0.67
Cheap Thrills,Sia,0.84,0.75,0.89,0.16,0.74
Lovely,Billie Eilish,0.42,0.40,0.30,0.65,0.55
Stressed Out,Twenty One Pilots,0.63,0.70,0.65,0.25,0.64
Memories,Maroon 5,0.56,0.60,0.72,0.35,0.59
Wake Me Up,Avicii,0.82,0.88,0.91,0.09,0.78
Radioactive,Imagine Dragons,0.69,0.92,0.68,0.07,0.75
Let Her Go,Passenger,0.48,0.50,0.40,0.60,0.57
Peaches,Justin Bieber,0.79,0.74,0.84,0.20,0.70
Watermelon Sugar,Harry Styles,0.83,0.78,0.88,0.18,0.72
All of Me,John Legend,0.45,0.48,0.42,0.62,0.56
